gene_id	chromosome_name	description
Potra2n1c3185	chr1	sp|Q9C907|GDPD5_ARATH Glycerophosphodiester phosphodiesterase GDPD5 OS=Arabidopsis thaliana OX=3702 GN=GDPD5 PE=2 SV=1
Potra2n1c3186	chr1	None available
Potra2n1c3187	chr1	sp|Q0VAA2|LR74A_HUMAN Leucine-rich repeat-containing protein 74A OS=Homo sapiens OX=9606 GN=LRRC74A PE=2 SV=2
Potra2n1c3188	chr1	sp|Q0WMY5|PP365_ARATH Pentatricopeptide repeat-containing protein At5g04810, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPR4 PE=1 SV=1
Potra2n1c3189	chr1	None available
Potra2n1c3190	chr1	sp|Q940Z1|PPR51_ARATH Pentatricopeptide repeat-containing protein At1g19525 OS=Arabidopsis thaliana OX=3702 GN=At1g19525 PE=2 SV=2
Potra2n1c3191	chr1	sp|Q93WU8|WRK54_ARATH Probable WRKY transcription factor 54 OS=Arabidopsis thaliana OX=3702 GN=WRKY54 PE=1 SV=2
Potra2n1c3192	chr1	None available
Potra2n1c3193	chr1	sp|Q5ZJC8|MTEF3_CHICK Transcription termination factor 3, mitochondrial OS=Gallus gallus OX=9031 GN=MTERF3 PE=2 SV=1
Potra2n1c3194	chr1	sp|Q6BL01|DML1_DEBHA Protein DML1 OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=DML1 PE=3 SV=2
Potra2n1c3195	chr1	sp|Q67XQ0|Y4424_ARATH DUF21 domain-containing protein At4g14240 OS=Arabidopsis thaliana OX=3702 GN=CBSDUF1 PE=1 SV=1
Potra2n1c3196	chr1	sp|P28266|NODL_RHIME Nodulation protein L OS=Rhizobium meliloti (strain 1021) OX=266834 GN=nodL PE=3 SV=1
Potra2n1c3197	chr1	sp|P35686|RS20_ORYSJ 40S ribosomal protein S20 OS=Oryza sativa subsp. japonica OX=39947 GN=RPS20 PE=2 SV=2
Potra2n1c3198	chr1	sp|Q9MAL0|PME57_ARATH Putative pectinesterase 57 OS=Arabidopsis thaliana OX=3702 GN=PME57 PE=3 SV=2
Potra2n1c3199	chr1	sp|Q500V5|AGDP1_ARATH Protein AGENET DOMAIN (AGD)-CONTAINING P1 OS=Arabidopsis thaliana OX=3702 GN=AGDP1 PE=1 SV=1
Potra2n1c3200	chr1	None available
Potra2n1c3201	chr1	sp|Q6L8G1|IRT2_ORYSJ Fe(2+) transport protein 2 OS=Oryza sativa subsp. japonica OX=39947 GN=IRT2 PE=2 SV=1
Potra2n1c3202	chr1	sp|P38757|NEM1_YEAST Nuclear envelope morphology protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NEM1 PE=1 SV=1
Potra2n1c3203	chr1	None available
Potra2n1c3204	chr1	None available
Potra2n1c3205	chr1	sp|P23179|SPO11_YEAST Meiosis-specific protein SPO11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPO11 PE=1 SV=1
Potra2n1c3206	chr1	sp|Q9XXD1|KVS4_CAEEL Probable voltage-gated potassium channel subunit kvs-4 OS=Caenorhabditis elegans OX=6239 GN=kvs-4 PE=1 SV=3
Potra2n1c3207	chr1	None available
Potra2n1c3208	chr1	sp|Q9K7E3|THRC_BACHD Threonine synthase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=thrC PE=3 SV=1
Potra2n1c3209	chr1	None available
Potra2n1c3210	chr1	None available
Potra2n1c3211	chr1	sp|O14348|NC2B_SCHPO Negative cofactor 2 complex subunit beta OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ncb2 PE=3 SV=1
Potra2n1c3212	chr1	None available
Potra2n1c3213	chr1	sp|P22864|PELD_ASPNG Pectin lyase D OS=Aspergillus niger OX=5061 GN=pelD PE=1 SV=1
Potra2n1c3214	chr1	sp|Q9FFH6|FLA13_ARATH Fasciclin-like arabinogalactan protein 13 OS=Arabidopsis thaliana OX=3702 GN=FLA13 PE=1 SV=1
Potra2n1c3215	chr1	None available
Potra2n1c3216	chr1	None available
Potra2n1c3217	chr1	sp|Q16BL5|RPPH_ROSDO RNA pyrophosphohydrolase OS=Roseobacter denitrificans (strain ATCC 33942 / OCh 114) OX=375451 GN=rppH PE=3 SV=1
Potra2n1c3218	chr1	None available
Potra2n1c3219	chr1	sp|Q7VIN2|NPD_HELHP NAD-dependent protein deacylase OS=Helicobacter hepaticus (strain ATCC 51449 / 3B1) OX=235279 GN=cobB PE=3 SV=1
Potra2n1c3220	chr1	None available
Potra2n1c3221	chr1	sp|P86184|LECA_CYMRO Mannose-specific lectin alpha chain OS=Cymbosema roseum OX=202239 PE=1 SV=1
Potra2n1c3222	chr1	sp|Q9D2E2|TOE1_MOUSE Target of EGR1 protein 1 OS=Mus musculus OX=10090 GN=Toe1 PE=1 SV=1
Potra2n1c3223	chr1	sp|Q9CZ57|NSUN4_MOUSE 5-methylcytosine rRNA methyltransferase NSUN4 OS=Mus musculus OX=10090 GN=Nsun4 PE=1 SV=1
Potra2n1c3224	chr1	sp|C6KTB7|ALTH1_PLAF7 Putative E3 ubiquitin-protein ligase protein PFF1365c OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PFF1365c PE=1 SV=1
Potra2n1c3225	chr1	sp|Q10451|PPR5_SCHPO Pentatricopeptide repeat-containing protein 5, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ppr5 PE=4 SV=2
Potra2n1c3226	chr1	sp|O22633|NOI4_ARATH Protein NOI4 OS=Arabidopsis thaliana OX=3702 GN=NOI4 PE=1 SV=1
Potra2n1c3227	chr1	sp|Q769F9|TMEDA_DICDI Transmembrane emp24 domain-containing protein A OS=Dictyostelium discoideum OX=44689 GN=empA PE=3 SV=1
Potra2n1c3228	chr1	sp|Q9U720|DCSA_DICDI Cellulose synthase catalytic subunit A [UDP-forming] OS=Dictyostelium discoideum OX=44689 GN=dcsA PE=1 SV=1
Potra2n1c3229	chr1	sp|O48724|WEB1_ARATH Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1 OS=Arabidopsis thaliana OX=3702 GN=WEB1 PE=1 SV=1
Potra2n1c3230	chr1	sp|Q753D3|AIM32_ASHGO Altered inheritance of mitochondria protein 32 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=AIM32 PE=3 SV=1
Potra2n1c3231	chr1	sp|Q757H2|CSR1_ASHGO Phosphatidylinositol transfer protein CSR1 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=CSR1 PE=3 SV=2
Potra2n1c3232	chr1	None available
Potra2n1c3233	chr1	sp|Q9HQJ4|RPOD_HALSA DNA-directed RNA polymerase subunit D OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=rpoD PE=3 SV=1
Potra2n1c3234	chr1	sp|P53972|RCM1_YEAST 25S rRNA (cytosine(2278)-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RCM1 PE=1 SV=1
Potra2n1c3235	chr1	sp|Q06593|OPT2_YEAST Oligopeptide transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OPT2 PE=1 SV=1
Potra2n1c3236	chr1	sp|Q8VZE4|PP299_ARATH Pentatricopeptide repeat-containing protein At4g01570 OS=Arabidopsis thaliana OX=3702 GN=At4g01570 PE=2 SV=1
Potra2n1c3237	chr1	None available
Potra2n1c3238	chr1	None available
Potra2n1c3239	chr1	sp|Q55FM0|EMC89_DICDI ER membrane protein complex subunit 8/9 homolog OS=Dictyostelium discoideum OX=44689 GN=DDB_G0268048 PE=3 SV=1
Potra2n1c3240	chr1	sp|Q9FME8|OPT4_ARATH Oligopeptide transporter 4 OS=Arabidopsis thaliana OX=3702 GN=OPT4 PE=1 SV=1
Potra2n1c3241	chr1	sp|Q06593|OPT2_YEAST Oligopeptide transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OPT2 PE=1 SV=1
Potra2n1c3242	chr1	None available
Potra2n1c3243	chr1	sp|Q55FM0|EMC89_DICDI ER membrane protein complex subunit 8/9 homolog OS=Dictyostelium discoideum OX=44689 GN=DDB_G0268048 PE=3 SV=1
Potra2n1c3244	chr1	sp|F4I3B3|RB47A_ARATH Polyadenylate-binding protein RBP47A OS=Arabidopsis thaliana OX=3702 GN=RBP47A PE=2 SV=1
Potra2n1c3245	chr1	None available
Potra2n1c3246	chr1	sp|Q6C0E6|CWC15_YARLI Pre-mRNA-splicing factor CWC15 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=CWC15 PE=3 SV=1
Potra2n1c3247	chr1	sp|D3ZXD8|TM245_RAT Transmembrane protein 245 OS=Rattus norvegicus OX=10116 GN=Tmem245 PE=1 SV=1
Potra2n1c3248	chr1	sp|O32188|YUSV_BACSU Probable siderophore transport system ATP-binding protein YusV OS=Bacillus subtilis (strain 168) OX=224308 GN=yusV PE=1 SV=1
Potra2n1c3249	chr1	sp|Q1RMI8|CCD22_BOVIN Coiled-coil domain-containing protein 22 OS=Bos taurus OX=9913 GN=CCDC22 PE=2 SV=1
Potra2n1c3250	chr1	sp|Q8VZS6|GIP1_ARATH GBF-interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=GIP1 PE=1 SV=1
Potra2n1c3251	chr1	None available
Potra2n1c3252	chr1	sp|Q3T0W3|RN181_BOVIN E3 ubiquitin-protein ligase RNF181 OS=Bos taurus OX=9913 GN=RNF181 PE=2 SV=1
Potra2n1c3253	chr1	None available
Potra2n1c3254	chr1	None available
Potra2n1c3255	chr1	None available
Potra2n1c3256	chr1	None available
Potra2n1c3257	chr1	sp|Q4V8A1|PCT2B_RAT Lysophosphatidylcholine acyltransferase 2B OS=Rattus norvegicus OX=10116 GN=Lpcat2b PE=2 SV=1
Potra2n1c3258	chr1	None available
Potra2n1c3259	chr1	sp|Q6NRG5|NDOR1_XENLA NADPH-dependent diflavin oxidoreductase 1 OS=Xenopus laevis OX=8355 GN=ndor1 PE=2 SV=1
Potra2n1c3260	chr1	sp|Q9NZM1|MYOF_HUMAN Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1
Potra2n1c3261	chr1	sp|P53768|HAP2_KLULA Transcriptional activator HAP2 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=HAP2 PE=3 SV=1
Potra2n1c3262	chr1	None available
Potra2n1c3263	chr1	sp|Q9FFI0|HDG9_ARATH Homeobox-leucine zipper protein HDG9 OS=Arabidopsis thaliana OX=3702 GN=HDG9 PE=2 SV=1
Potra2n1c3264	chr1	sp|Q2MFP3|DOIAD_STRRY 2-deoxy-scyllo-inosamine dehydrogenase OS=Streptomyces rimosus subsp. paromomycinus OX=92743 GN=parE PE=3 SV=1
Potra2n1c3265	chr1	sp|Q8S307|BZR1_ARATH Protein BRASSINAZOLE-RESISTANT 1 OS=Arabidopsis thaliana OX=3702 GN=BZR1 PE=1 SV=1
Potra2n1c3266	chr1	sp|Q9ZR40|U2A2B_NICPL Splicing factor U2af large subunit B OS=Nicotiana plumbaginifolia OX=4092 GN=U2AF65B PE=2 SV=1
Potra2n1c3267	chr1	None available
Potra2n1c3268	chr1	sp|Q96524|CRY2_ARATH Cryptochrome-2 OS=Arabidopsis thaliana OX=3702 GN=CRY2 PE=1 SV=2
Potra2n1c3269	chr1	None available
Potra2n1c3270	chr1	None available
Potra2n1c3271	chr1	None available
Potra2n1c3272	chr1	None available
Potra2n1c3273	chr1	sp|Q9XI47|SHH1_ARATH Protein SAWADEE HOMEODOMAIN HOMOLOG 1 OS=Arabidopsis thaliana OX=3702 GN=SHH1 PE=1 SV=1
Potra2n1c3274	chr1	sp|Q54KR5|ELOF1_DICDI Transcription elongation factor 1 homolog OS=Dictyostelium discoideum OX=44689 GN=elof1 PE=3 SV=1
Potra2n1c3275	chr1	sp|Q9P7H2|REXO3_SCHPO RNA exonuclease 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rex3 PE=3 SV=1
Potra2n1c3276	chr1	sp|O22808|LYK5_ARATH Protein LYK5 OS=Arabidopsis thaliana OX=3702 GN=LYK5 PE=2 SV=1
Potra2n1c3277	chr1	None available
Potra2n1c3278	chr1	None available
Potra2n1c3279	chr1	None available
Potra2n1c3280	chr1	sp|Q5SPX3|RN215_MOUSE RING finger protein 215 OS=Mus musculus OX=10090 GN=Rnf215 PE=2 SV=1
Potra2n1c3281	chr1	sp|Q32NS2|KBRS2_XENLA NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Xenopus laevis OX=8355 GN=nkiras2 PE=2 SV=1
Potra2n1c3282	chr1	None available
Potra2n1c3283	chr1	sp|Q5WX50|HGD_LEGPL Homogentisate 1,2-dioxygenase OS=Legionella pneumophila (strain Lens) OX=297245 GN=hmgA PE=3 SV=1
Potra2n1c3284	chr1	sp|Q04088|POF21_ARATH Probable transcription factor PosF21 OS=Arabidopsis thaliana OX=3702 GN=POSF21 PE=2 SV=1
Potra2n1c3285	chr1	None available
Potra2n1c3286	chr1	sp|E9NA96|IR25A_DROME Ionotropic receptor 25a OS=Drosophila melanogaster OX=7227 GN=Ir25a PE=1 SV=1
Potra2n1c3287	chr1	sp|Q8L636|NCL_ARATH Sodium/calcium exchanger NCL OS=Arabidopsis thaliana OX=3702 GN=NCL PE=2 SV=1
Potra2n1c3288	chr1	sp|Q6K3R5|NCL2_ORYSJ Sodium/calcium exchanger NCL2 OS=Oryza sativa subsp. japonica OX=39947 GN=NCL2 PE=2 SV=2
Potra2n1c3289	chr1	None available
Potra2n1c3290	chr1	sp|Q8LPG9|IQD14_ARATH Protein IQ-DOMAIN 14 OS=Arabidopsis thaliana OX=3702 GN=IQD14 PE=1 SV=1
Potra2n1c3291	chr1	sp|Q01367|SP3AA_BACSU Stage III sporulation protein AA OS=Bacillus subtilis (strain 168) OX=224308 GN=spoIIIAA PE=4 SV=1
Potra2n1c3292	chr1	sp|A1D4K4|PABP_NEOFI Polyadenylate-binding protein, cytoplasmic and nuclear OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=pab1 PE=3 SV=1
Potra2n1c3293	chr1	sp|P58598|PGLR_RALSO Polygalacturonase OS=Ralstonia solanacearum (strain GMI1000) OX=267608 GN=pglA PE=3 SV=1
Potra2n1c3294	chr1	sp|Q09651|CC130_CAEEL Coiled-coil domain-containing protein 130 homolog OS=Caenorhabditis elegans OX=6239 GN=ZK1307.9 PE=1 SV=1
Potra2n1c3295	chr1	sp|Q9LSS5|ICR3_ARATH Interactor of constitutive active ROPs 3 OS=Arabidopsis thaliana OX=3702 GN=ICR3 PE=1 SV=1
Potra2n1c3296	chr1	None available
Potra2n1c3297	chr1	sp|Q7S6X4|SIP5_NEUCR Protein sip-5 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=sip-5 PE=3 SV=1
Potra2n1c3298	chr1	None available
Potra2n1c3299	chr1	None available
Potra2n1c3300	chr1	None available
Potra2n1c3301	chr1	None available
Potra2n1c3302	chr1	sp|Q8VYI5|VQ10_ARATH VQ motif-containing protein 10 OS=Arabidopsis thaliana OX=3702 GN=VQ10 PE=1 SV=1
Potra2n1c3303	chr1	sp|P10621|IPNS_STRCL Isopenicillin N synthase OS=Streptomyces clavuligerus OX=1901 GN=pcbC PE=3 SV=1
Potra2n1c3304	chr1	sp|P9WQM9|ANSP1_MYCTU L-asparagine permease 1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=ansP1 PE=1 SV=1
Potra2n1c3305	chr1	sp|Q84MA5|CAAT1_ARATH Cationic amino acid transporter 1 OS=Arabidopsis thaliana OX=3702 GN=CAT1 PE=1 SV=1
Potra2n1c3306	chr1	sp|F4I1X0|HIP41_ARATH Heavy metal-associated isoprenylated plant protein 41 OS=Arabidopsis thaliana OX=3702 GN=HIPP41 PE=3 SV=1
Potra2n1c3307	chr1	sp|Q8BW70|UBP38_MOUSE Ubiquitin carboxyl-terminal hydrolase 38 OS=Mus musculus OX=10090 GN=Usp38 PE=1 SV=2
Potra2n1c3308	chr1	sp|Q9SR77|HBPL1_ARATH Heme-binding-like protein At3g10130, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At3g10130 PE=1 SV=1
Potra2n1c3309	chr1	None available
Potra2n1c3310	chr1	None available
Potra2n1c3311	chr1	None available
Potra2n1c3312	chr1	None available
Potra2n1c3313	chr1	sp|Q9FJW6|PP451_ARATH Pentatricopeptide repeat-containing protein At5g67570, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DG1 PE=1 SV=2
Potra2n1c3314	chr1	sp|P70610|DOC2B_RAT Double C2-like domain-containing protein beta OS=Rattus norvegicus OX=10116 GN=Doc2b PE=1 SV=2
Potra2n1c3315	chr1	sp|P22242|DRPE_CRAPL Desiccation-related protein PCC13-62 OS=Craterostigma plantagineum OX=4153 PE=2 SV=1
Potra2n1c3316	chr1	sp|P22242|DRPE_CRAPL Desiccation-related protein PCC13-62 OS=Craterostigma plantagineum OX=4153 PE=2 SV=1
Potra2n1c3317	chr1	None available
Potra2n1c3318	chr1	sp|O94283|ERV41_SCHPO ER-derived vesicles protein 41 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erv41 PE=1 SV=1
Potra2n1c3319	chr1	None available
Potra2n1c3320	chr1	None available
Potra2n1c3321	chr1	sp|P22242|DRPE_CRAPL Desiccation-related protein PCC13-62 OS=Craterostigma plantagineum OX=4153 PE=2 SV=1
Potra2n1c3322	chr1	sp|Q7NG34|GLO2_GLOVI Hydroxyacylglutathione hydrolase OS=Gloeobacter violaceus (strain ATCC 29082 / PCC 7421) OX=251221 GN=gloB PE=3 SV=1
Potra2n1c3323	chr1	None available
Potra2n1c3324	chr1	sp|Q12051|GGPPS_YEAST Geranylgeranyl pyrophosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BTS1 PE=1 SV=1
Potra2n1c3325	chr1	None available
Potra2n1c3326	chr1	sp|Q93V72|PDCB4_ARATH PLASMODESMATA CALLOSE-BINDING PROTEIN 4 OS=Arabidopsis thaliana OX=3702 GN=PDCB4 PE=1 SV=1
Potra2n1c3327	chr1	sp|Q9C8L2|FAP3_ARATH Fatty-acid-binding protein 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FAP3 PE=1 SV=1
Potra2n1c3328	chr1	sp|P0CS76|SSN3_CRYNJ Serine/threonine-protein kinase SSN3 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=SSN3 PE=3 SV=1
Potra2n1c3329	chr1	None available
Potra2n1c3330	chr1	sp|B5X561|SHA_ARATH SH2 domain-containing protein A OS=Arabidopsis thaliana OX=3702 GN=SHA PE=1 SV=1
Potra2n1c3331	chr1	sp|P38797|PP2C7_YEAST Protein phosphatase 2C homolog 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PTC7 PE=1 SV=2
Potra2n1c3332	chr1	None available
Potra2n1c3333	chr1	sp|C0LGG9|Y5344_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g53440 OS=Arabidopsis thaliana OX=3702 GN=At1g53440 PE=2 SV=2
Potra2n1c3334	chr1	None available
Potra2n1c3335	chr1	sp|Q2T9P5|CC50C_BOVIN Cell cycle control protein 50C OS=Bos taurus OX=9913 GN=TMEM30C PE=2 SV=1
Potra2n1c3336	chr1	None available
Potra2n1c3337	chr1	sp|S3E7Q2|GLOE_GLAL2 2-oxoglutarate-dependent dioxygenase gloE OS=Glarea lozoyensis (strain ATCC 20868 / MF5171) OX=1116229 GN=gloE PE=1 SV=1
Potra2n1c3338	chr1	sp|Q9SUW1|GT19_ARATH Probable xyloglucan galactosyltransferase GT19 OS=Arabidopsis thaliana OX=3702 GN=GT19 PE=2 SV=1
Potra2n1c3339	chr1	None available
Potra2n1c3340	chr1	sp|P05326|IPNS_EMENI Isopenicillin N synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=ipnA PE=1 SV=1
Potra2n1c3341	chr1	None available
Potra2n1c3342	chr1	None available
Potra2n1c3343	chr1	sp|B7ZS37|BAZ2A_XENLA Bromodomain adjacent to zinc finger domain protein 2A OS=Xenopus laevis OX=8355 GN=baz2a PE=2 SV=1
Potra2n1c3344	chr1	sp|Q9FH51|FLXL4_ARATH Protein FLX-like 4 OS=Arabidopsis thaliana OX=3702 GN=FLXL4 PE=1 SV=1
Potra2n1c3345	chr1	None available
Potra2n1c3346	chr1	sp|O45102|SWET1_CAEEL Sugar transporter SWEET1 OS=Caenorhabditis elegans OX=6239 GN=swt-1 PE=3 SV=1
Potra2n1c3347	chr1	sp|Q47GJ3|HLDD_DECAR ADP-L-glycero-D-manno-heptose-6-epimerase OS=Dechloromonas aromatica (strain RCB) OX=159087 GN=hldD PE=3 SV=1
Potra2n1c3348	chr1	sp|Q15JG1|VLDE_STRHL Validamine 7-phosphate valienyltransferase OS=Streptomyces hygroscopicus subsp. limoneus OX=264445 GN=vldE PE=1 SV=1
Potra2n1c3349	chr1	None available
Potra2n1c3350	chr1	sp|Q0JMB2|RSLE4_ORYSJ Zinc finger BED domain-containing protein RICESLEEPER 4 OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0518400 PE=2 SV=3
Potra2n1c3351	chr1	sp|I6PL68|HEI10_ORYSJ E3 ubiquitin-protein ligase CCNB1IP1 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=HEI10 PE=1 SV=2
Potra2n1c3352	chr1	sp|Q8RWD0|COL16_ARATH Zinc finger protein CONSTANS-LIKE 16 OS=Arabidopsis thaliana OX=3702 GN=COL16 PE=1 SV=2
Potra2n1c3353	chr1	None available
Potra2n1c3354	chr1	sp|O74839|MSY1_SCHPO Mechanosensitive ion channel protein Msy1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=msy1 PE=1 SV=1
Potra2n1c3355	chr1	sp|Q58343|Y933_METJA Uncharacterized membrane protein MJ0933 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0933 PE=3 SV=1
Potra2n1c3356	chr1	sp|Q22006|PRO1_CAEEL Pre-rRNA-processing protein pro-1 OS=Caenorhabditis elegans OX=6239 GN=pro-1 PE=2 SV=1
Potra2n1c3357	chr1	None available
Potra2n1c3358	chr1	None available
Potra2n1c3359	chr1	None available
Potra2n1c3360	chr1	sp|Q96YW2|RL13_SULTO 50S ribosomal protein L13 OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=rpl13 PE=3 SV=1
Potra2n1c3361	chr1	None available
Potra2n1c3362	chr1	sp|Q15404|RSU1_HUMAN Ras suppressor protein 1 OS=Homo sapiens OX=9606 GN=RSU1 PE=1 SV=3
Potra2n1c3363	chr1	None available
Potra2n1c3364	chr1	sp|P0CS76|SSN3_CRYNJ Serine/threonine-protein kinase SSN3 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=SSN3 PE=3 SV=1
Potra2n1c3365	chr1	sp|P40197|GPV_HUMAN Platelet glycoprotein V OS=Homo sapiens OX=9606 GN=GP5 PE=1 SV=1
Potra2n1c3366	chr1	sp|Q9SJG2|Y2296_ARATH Probable receptor-like protein kinase At2g42960 OS=Arabidopsis thaliana OX=3702 GN=At2g42960 PE=3 SV=1
Potra2n1c3367	chr1	sp|Q6UXM1|LRIG3_HUMAN Leucine-rich repeats and immunoglobulin-like domains protein 3 OS=Homo sapiens OX=9606 GN=LRIG3 PE=2 SV=1
Potra2n1c3368	chr1	sp|Q9FXF2|RKF1_ARATH Probable LRR receptor-like serine/threonine-protein kinase RFK1 OS=Arabidopsis thaliana OX=3702 GN=RKF1 PE=1 SV=1
Potra2n1c3369	chr1	sp|Q8W3M4|Y4744_ARATH Uncharacterized protein At4g06744 OS=Arabidopsis thaliana OX=3702 GN=At4g06744 PE=2 SV=1
Potra2n1c3370	chr1	None available
Potra2n1c3371	chr1	sp|Q9S9M3|WAKLC_ARATH Wall-associated receptor kinase-like 3 OS=Arabidopsis thaliana OX=3702 GN=WAKL3 PE=2 SV=2
Potra2n1c3372	chr1	None available
Potra2n1c3373	chr1	sp|Q9FH80|BAM8_ARATH Beta-amylase 8 OS=Arabidopsis thaliana OX=3702 GN=BAM8 PE=1 SV=1
Potra2n1c3374	chr1	None available
Potra2n1c3375	chr1	sp|Q62867|GGH_RAT Gamma-glutamyl hydrolase OS=Rattus norvegicus OX=10116 GN=Ggh PE=1 SV=1
Potra2n1c3376	chr1	None available
Potra2n1c3377	chr1	None available
Potra2n1c3378	chr1	sp|Q15054|DPOD3_HUMAN DNA polymerase delta subunit 3 OS=Homo sapiens OX=9606 GN=POLD3 PE=1 SV=2
Potra2n1c3379	chr1	None available
Potra2n1c3380	chr1	sp|Q68FV8|UBTD1_RAT Ubiquitin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Ubtd1 PE=2 SV=1
Potra2n1c3381	chr1	None available
Potra2n1c3382	chr1	sp|Q8VZ10|SOQ1_ARATH Protein SUPPRESSOR OF QUENCHING 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SOQ1 PE=1 SV=1
Potra2n1c3383	chr1	None available
Potra2n1c3384	chr1	sp|P28542|SECY_HALMA Protein translocase subunit SecY OS=Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) OX=272569 GN=secY PE=3 SV=2
Potra2n1c3385	chr1	sp|F4KGE8|GIL1_ARATH Protein GRAVITROPIC IN THE LIGHT 1 OS=Arabidopsis thaliana OX=3702 GN=GIL1 PE=2 SV=1
Potra2n1c3386	chr1	sp|P86952|TYRO_PINMA Tyrosinase-like protein OS=Pinctada maxima OX=104660 PE=1 SV=1
Potra2n1c3387	chr1	sp|O65924|Y2921_ARATH Putative leucine-rich repeat receptor-like protein kinase At2g19210 OS=Arabidopsis thaliana OX=3702 GN=At2g19210 PE=1 SV=1
Potra2n1c3388	chr1	sp|Q9STJ8|Y4539_ARATH Receptor-like serine/threonine-protein kinase At4g25390 OS=Arabidopsis thaliana OX=3702 GN=At4g25390 PE=2 SV=1
Potra2n1c3389	chr1	None available
Potra2n1c3390	chr1	sp|Q9LNV9|RLP1_ARATH Receptor-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RLP1 PE=2 SV=2
Potra2n1c3391	chr1	sp|O04533|LRK52_ARATH Putative L-type lectin-domain containing receptor kinase V.2 OS=Arabidopsis thaliana OX=3702 GN=LECRK52 PE=3 SV=1
Potra2n1c3392	chr1	sp|P80960|HCY2A_RAPVE Hemocyanin type 2 unit a OS=Rapana venosa OX=55521 PE=1 SV=2
Potra2n1c3393	chr1	sp|O42713|PPO2_AGABI Polyphenol oxidase 2 OS=Agaricus bisporus OX=5341 GN=PPO2 PE=2 SV=1
